2015-02-18 19:33:23 install libdebconfclient0:amd64 <none> 0.187ubuntu1
2015-02-18 19:33:23 status half-installed libdebconfclient0:amd64 0.187ubuntu1
2015-02-18 19:33:23 status unpacked libdebconfclient0:amd64 0.187ubuntu1
2015-02-18 19:33:23 status unpacked libdebconfclient0:amd64 0.187ubuntu1
2015-02-18 19:33:23 install libdrm2:amd64 <none> 2.4.52-1
2015-02-18 19:33:23 status half-installed libdrm2:amd64 2.4.52-1
2015-02-18 19:33:23 status unpacked libdrm2:amd64 2.4.52-1
2015-02-18 19:33:23 status unpacked libdrm2:amd64 2.4.52-1
2015-02-18 19:33:23 install libgcc1:amd64 <none> 1:4.9-20140406-0ubuntu1
2015-02-18 19:33:23 status half-installed libgcc1:amd64 1:4.9-20140406-0ubuntu1
2015-02-18 19:33:24 status unpacked libgcc1:amd64 1:4.9-20140406-0ubuntu1
2015-02-18 19:33:24 status unpacked libgcc1:amd64 1:4.9-20140406-0ubuntu1
2015-02-18 19:33:24 install libjson-c2:amd64 <none> 0.11-3ubuntu1
2015-02-18 19:33:24 status half-installed libjson-c2:amd64 0.11-3ubuntu1
2015-02-18 19:33:24 status unpacked libjson-c2:amd64 0.11-3ubuntu1
2015-02-18 19:33:24 status unpacked libjson-c2:amd64 0.11-3ubuntu1
2015-02-18 19:33:24 install libjson0:amd64 <none> 0.11-3ubuntu1
2015-02-18 19:33:24 status half-installed libjson0:amd64 0.11-3ubuntu1
2015-02-18 19:33:24 status unpacked libjson0:amd64 0.11-3ubuntu1
2015-02-18 19:33:24 status unpacked libjson0:amd64 0.11-3ubuntu1
2015-02-18 19:33:24 install libklibc:amd64 <none> 2.0.3-0ubuntu1
2015-02-18 19:33:24 status half-installed libklibc:amd64 2.0.3-0ubuntu1
2015-02-18 19:33:24 status unpacked libklibc:amd64 2.0.3-0ubuntu1
2015-02-18 19:33:24 status unpacked libklibc:amd64 2.0.3-0ubuntu1
2015-02-18 19:33:24 install libkmod2:amd64 <none> 15-0ubuntu6
2015-02-18 19:33:24 status half-installed libkmod2:amd64 15-0ubuntu6
2015-02-18 19:33:24 status unpacked libkmod2:amd64 15-0ubuntu6
2015-02-18 19:33:24 status unpacked libkmod2:amd64 15-0ubuntu6
2015-02-18 19:33:24 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2ubuntu2
2015-02-18 19:33:24 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2015-02-18 19:33:24 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2015-02-18 19:33:24 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2015-02-18 19:33:24 install libmount1:amd64 <none> 2.20.1-5.1ubuntu20
2015-02-18 19:33:24 status half-installed libmount1:amd64 2.20.1-5.1ubuntu20
2015-02-18 19:33:24 status unpacked libmount1:amd64 2.20.1-5.1ubuntu20
2015-02-18 19:33:24 status unpacked libmount1:amd64 2.20.1-5.1ubuntu20
2015-02-18 19:33:24 install libncurses5:amd64 <none> 5.9+20140118-1ubuntu1
2015-02-18 19:33:24 status half-installed libncurses5:amd64 5.9+20140118-1ubuntu1
2015-02-18 19:33:24 status unpacked libncurses5:amd64 5.9+20140118-1ubuntu1
2015-02-18 19:33:24 status unpacked libncurses5:amd64 5.9+20140118-1ubuntu1
2015-02-18 19:33:24 install libncursesw5:amd64 <none> 5.9+20140118-1ubuntu1
2015-02-18 19:33:24 status half-installed libncursesw5:amd64 5.9+20140118-1ubuntu1
2015-02-18 19:33:24 status unpacked libncursesw5:amd64 5.9+20140118-1ubuntu1
2015-02-18 19:33:24 status unpacked libncursesw5:amd64 5.9+20140118-1ubuntu1
2015-02-18 19:33:24 install libnih-dbus1:amd64 <none> 1.0.3-4ubuntu25
2015-02-18 19:33:24 status half-installed libnih-dbus1:amd64 1.0.3-4ubuntu25
2015-02-18 19:33:24 status unpacked libnih-dbus1:amd64 1.0.3-4ubuntu25
2015-02-18 19:33:24 status unpacked libnih-dbus1:amd64 1.0.3-4ubuntu25
2015-02-18 19:33:24 install libnih1:amd64 <none> 1.0.3-4ubuntu25
2015-02-18 19:33:24 status half-installed libnih1:amd64 1.0.3-4ubuntu25
2015-02-18 19:33:24 status unpacked libnih1:amd64 1.0.3-4ubuntu25
